State,Constituency No,Constituency,Candidate,Party,Website
Orissa,11,Kalahandi ,Shri Bikram Keshari Deo,BJP,http://164.100.47.134/newls/HomePage.aspx?mpsno=108
Orissa,12,Nabarangpur (ST) ,Shri Parsuram Majhi,BJP,http://164.100.47.134/newls/HomePage.aspx?mpsno=227
Orissa,13,Kandhmal ,Shri Ashok Sahu,BJP,
Orissa,12,Nabarangpur (ST) ,Shri Parsuram Majhi,BJP,
Orissa,21,Koraput (ST) ,Shri Upendra Majhi ,BJP,
Punjab,1,Gurdaspur ,Shri Vinod Khanna,BJP,http://164.100.47.134/newls/HomePage.aspx?mpsno=197
Punjab,2,Amritsar ,Shri Navjot Singh Siddhu,BJP,http://164.100.47.134/newls/HomePage.aspx?mpsno=4000
Punjab,5,Hoshiarpur (SC) ,Shri Som Prakash ,BJP,
Rajasthan,1,Sriganganagar/ Hanumangarh (SC) ,Shri Nihal Chand,BJP,http://164.100.47.134/newls/HomePage.aspx?mpsno=95
Rajasthan,2,Bikaner (SC) ,Shri Arjun Meghwal,BJP,http://164.100.47.134/newls/HomePage.aspx?mpsno=568
Rajasthan,3,Churu ,Shri Ram Singh Kasba,BJP,
Rajasthan,8,Alwar ,Smt. Kiran Yadav,BJP,
Rajasthan,10,Karoli Dholpur (SC) ,Dr. Manoj Rajoriya,BJP,
Rajasthan,14,Nagour ,Smt. Bindu Choudhary,BJP,
Rajasthan,15,Pali ,Shri Pushp Jain,BJP,http://164.100.47.134/newls/HomePage.aspx?mpsno=160
Rajasthan,16,Jodhpur ,Shri Jaswant Singh Bisnoi,BJP,
Rajasthan,17,Barmer ,Shri Manvendra Singh,BJP,http://164.100.47.134/newls/HomePage.aspx?mpsno=4197
Rajasthan,18,Jalore ,Shri Devji Choudhary,BJP,
Rajasthan,21,Chittorgarh ,Shri Srichand Kripalani,BJP,http://164.100.47.134/newls/HomePage.aspx?mpsno=200
Rajasthan,22,Rajsamand ,Shri Rasa Singh Rawat,BJP,http://164.100.47.134/newls/HomePage.aspx?mpsno=368
Rajasthan,23,Bhilwara ,Shri V.P. Singh,BJP,
Rajasthan,24,Kota ,Dr. Shyam Sharma,BJP,
Rajasthan,25,Jhalawad ,Shri Dushyant Singh,BJP,http://164.100.47.134/newls/HomePage.aspx?mpsno=4005
Sikkim,1,Sikkim ,Prof. Padam Bahadur Chettri ,BJP,
Tripura,1,Tripura West ,Shri Nilmani Deb,BJP,
Tripura,2,Tripura East (ST) ,Shri Pulin Behari Dewan ,BJP,
Uttar Pradesh,2,Kairana ,Ch. Hukum Singh Gurjar,BJP,
Uttar Pradesh,6,Muradabad ,Shri Sarvesh Singh,BJP,
Uttar Pradesh,7,Rampur ,Shri Mukhtar Abbas Naqvi,BJP,
Uttar Pradesh,12,Ghaziabad ,Shri Rajnath Singh,BJP,
Uttar Pradesh,13,Goutam Buddh Nagar ,Dr. Mahesh Sharma,BJP,
Uttar Pradesh,14,Bulandshahar (SC) ,Shri Ashok Pradhan,BJP,http://164.100.47.134/newls/HomePage.aspx?mpsno=333
Uttar Pradesh,18,Agra ,Shri Ramshankar Katheria,BJP,
Uttar Pradesh,19,Fatehpur Sikri ,Shri Aridaman Singh,BJP,
Uttar Pradesh,20,Firozabad ,Shri Raghuvar Dayal Verma,BJP,
Uttar Pradesh,21,Mainpuri ,Miss Trapxi Shakya,BJP,
Uttar Pradesh,22,Etah,Dr. Shyam Singh Shakya,BJP,
Uttar Pradesh,24,Aonla ,Smt. Meneka Gandhi,BJP,http://164.100.47.134/newls/HomePage.aspx?mpsno=129
Uttar Pradesh,25,Bareilly ,Shri Santosh Gangwar,BJP,http://164.100.47.134/newls/HomePage.aspx?mpsno=131
Uttar Pradesh,26,Pilibhit ,Shri Varun Gandhi,BJP,
Uttar Pradesh,27,Shahjahanpur (SC) ,Smt. Krishna Raj,BJP,
Uttar Pradesh,28,Khiri ,Shri Ajay Mishra Teni,BJP,
Uttar Pradesh,29,Dhaurahra ,Shri Raghvendra Singh,BJP,
Uttar Pradesh,30,Sitapur ,Shri Gyan Tiwari,BJP,
Uttar Pradesh,31,Hardoi (SC) ,Smt. Poornima Verma,BJP,
Uttar Pradesh,32,Mishrikh (SC) ,Shri Anil Bhargav,BJP,
Uttar Pradesh,33,Unnao ,Shri Ramesh Kumar Singh,BJP,
Uttar Pradesh,34,Mohanlal Ganj (SC) ,Shri Ranjan Choudhary (Pasi),BJP,
Uttar Pradesh,35,Lucknow ,Shri Lalji Tandon,BJP,
Uttar Pradesh,36,Rae Bareli,Shri R.V. Singh,BJP,
Uttar Pradesh,37,Amethi,Shri Pradeep Singh,BJP,
Uttar Pradesh,38,Sultanpur ,Shri Surajbhan Singh,BJP,
Uttar Pradesh,39,Pratapgarh ,Shri Laxmi Narayan Pandey,BJP,
Uttar Pradesh,40,Farukhabad ,Smt. Mithilesh Aggarwal,BJP,
Uttar Pradesh,41,Etawah (SC) ,Smt. Kamlesh Katheriya,BJP,
Uttar Pradesh,42,Kannauj ,Shri Subrat Pathak,BJP,
Uttar Pradesh,43,Kanpur ,Shri Satish Mahana,BJP,
Uttar Pradesh,44,Akbarpur ,"Shri Arun Tiwari ""Baba""",BJP,
Uttar Pradesh,45,Jalaun (SC) ,Shri Bhanu Pratap Verma,BJP,http://164.100.47.134/newls/HomePage.aspx?mpsno=3824
Uttar Pradesh,46,Jhansi ,Shri Ravindra Shukla,BJP,
