State,Constituency No,Constituency,Candidate,Party,Website,Caste,Sex,Education
Rajasthan,3,Churu ,Ram Singh Kasba,BJP,,,Male,
Rajasthan,8,Alwar ,Kiran Yadav,BJP,,,Female,
Rajasthan,10,Karoli Dholpur  ,Dr. Manoj Rajoriya,BJP,,SC,Male,Graduate
Rajasthan,14,Nagour ,Bindu Choudhary,BJP,,,Female,
Rajasthan,15,Pali ,Pushp Jain,BJP,http://164.100.47.134/newls/HomePage.aspx?mpsno=160,,Male,
Rajasthan,16,Jodhpur ,Jaswant Singh Bisnoi,BJP,,,Male,
Rajasthan,17,Barmer ,Manvendra Singh,BJP,http://164.100.47.134/newls/HomePage.aspx?mpsno=4197,,Male,
Rajasthan,18,Jalore ,Devji Choudhary,BJP,,,Male,
Rajasthan,21,Chittorgarh ,Srichand Kripalani,BJP,http://164.100.47.134/newls/HomePage.aspx?mpsno=200,,Male,
Rajasthan,22,Rajsamand ,Rasa Singh Rawat,BJP,http://164.100.47.134/newls/HomePage.aspx?mpsno=368,,Male,
Rajasthan,23,Bhilwara ,V.P. Singh,BJP,,,Male,
Rajasthan,24,Kota ,Dr. Shyam Sharma,BJP,,,Male,Graduate
Rajasthan,25,Jhalawad ,Dushyant Singh,BJP,http://164.100.47.134/newls/HomePage.aspx?mpsno=4005,,Male,
Sikkim,1,Sikkim ,Prof. Padam Bahadur Chettri ,BJP,,,Male,
Tripura,1,Tripura West ,Nilmani Deb,BJP,,,Male,
Tripura,2,Tripura East  ,Pulin Behari Dewan ,BJP,,ST,Male,
Uttar Pradesh,2,Kairana ,Hukum Singh Gurjar,BJP,,,Male,
Uttar Pradesh,6,Muradabad ,Sarvesh Singh,BJP,,,Male,
Uttar Pradesh,7,Rampur ,Mukhtar Abbas Naqvi,BJP,,,Male,
Uttar Pradesh,12,Ghaziabad ,Rajnath Singh,BJP,,,Male,
Uttar Pradesh,13,Goutam Buddh Nagar ,Mahesh Sharma,BJP,,,Male,Graduate
Uttar Pradesh,14,Bulandshahar  ,Ashok Pradhan,BJP,http://164.100.47.134/newls/HomePage.aspx?mpsno=333,SC,Male,
Uttar Pradesh,18,Agra ,Ramshankar Katheria,BJP,,,Male,
Uttar Pradesh,19,Fatehpur Sikri ,Aridaman Singh,BJP,,,Male,
